zone_id,total_volume,number_of_destinations,avg_distance_mile,avg_travel_time_min,google_maps_link
65,502,116,3.64236,8.94939,"https://www.google.com/maps/search/?api=1&query=43.059975,-87.914731"
66,490,125,4.03014,10.643,"https://www.google.com/maps/search/?api=1&query=43.067521,-87.914950"
67,646,103,2.20787,5.44336,"https://www.google.com/maps/search/?api=1&query=43.039480,-87.917036"
68,480,126,3.34367,8.43919,"https://www.google.com/maps/search/?api=1&query=43.048395,-87.920696"
69,313,104,3.36498,8.15485,"https://www.google.com/maps/search/?api=1&query=43.054150,-87.919244"
70,479,107,3.33738,7.72,"https://www.google.com/maps/search/?api=1&query=43.021353,-87.927351"
71,625,127,3.82911,8.37145,"https://www.google.com/maps/search/?api=1&query=43.016782,-87.927688"
72,491,108,4.12828,10.8285,"https://www.google.com/maps/search/?api=1&query=43.010210,-87.929467"
73,643,126,3.75904,9.00532,"https://www.google.com/maps/search/?api=1&query=43.002870,-87.929876"
74,629,124,4.11183,11.3007,"https://www.google.com/maps/search/?api=1&query=42.995959,-87.929818"
75,354,101,4.06252,11.8879,"https://www.google.com/maps/search/?api=1&query=42.999572,-87.936556"
76,692,128,4.62144,13.5035,"https://www.google.com/maps/search/?api=1&query=42.988322,-87.930133"
77,706,131,5.69061,10.3283,"https://www.google.com/maps/search/?api=1&query=42.963578,-87.937600"
78,777,136,6.4392,12.8094,"https://www.google.com/maps/search/?api=1&query=42.952978,-87.944163"
79,1007,147,6.43312,11.0184,"https://www.google.com/maps/search/?api=1&query=42.952383,-87.929223"
80,1371,150,8.41817,20.4505,"https://www.google.com/maps/search/?api=1&query=42.916169,-87.915404"
81,313,91,4.27331,15.8663,"https://www.google.com/maps/search/?api=1&query=42.995913,-87.953402"
82,1550,161,6.21782,25.0275,"https://www.google.com/maps/search/?api=1&query=42.967248,-87.968227"
83,480,113,3.59167,9.15122,"https://www.google.com/maps/search/?api=1&query=43.048743,-87.952626"
84,479,129,3.8506,9.80508,"https://www.google.com/maps/search/?api=1&query=43.040181,-87.952633"
85,488,121,3.70616,8.73359,"https://www.google.com/maps/search/?api=1&query=43.043308,-87.952838"
86,384,107,4.03309,10.5965,"https://www.google.com/maps/search/?api=1&query=43.042357,-87.945409"
87,532,104,5.8411,15.4786,"https://www.google.com/maps/search/?api=1&query=42.963975,-87.917508"
88,532,136,4.08592,10.8411,"https://www.google.com/maps/search/?api=1&query=43.073726,-87.930050"
89,267,95,4.26731,10.5398,"https://www.google.com/maps/search/?api=1&query=43.074177,-87.920565"
90,255,98,4.09608,9.95969,"https://www.google.com/maps/search/?api=1&query=43.067835,-87.923404"
91,366,104,3.68876,9.47248,"https://www.google.com/maps/search/?api=1&query=43.060498,-87.925977"
92,439,129,3.88924,12.6994,"https://www.google.com/maps/search/?api=1&query=43.074247,-87.942504"
93,488,132,4.28137,10.7017,"https://www.google.com/maps/search/?api=1&query=43.079856,-87.942551"
94,299,96,4.27563,10.544,"https://www.google.com/maps/search/?api=1&query=43.068014,-87.929533"
95,299,106,3.706,10.7775,"https://www.google.com/maps/search/?api=1&query=43.067764,-87.935296"
96,324,104,3.76793,11.5312,"https://www.google.com/maps/search/?api=1&query=43.067824,-87.939975"
97,364,115,3.93069,12.5254,"https://www.google.com/maps/search/?api=1&query=43.067649,-87.946132"
98,333,107,3.77244,11.8197,"https://www.google.com/maps/search/?api=1&query=43.060548,-87.945846"
99,349,116,3.63064,10.0709,"https://www.google.com/maps/search/?api=1&query=43.060224,-87.937770"
100,318,84,2.86917,6.70468,"https://www.google.com/maps/search/?api=1&query=43.042633,-87.930484"
101,278,89,3.10489,7.39758,"https://www.google.com/maps/search/?api=1&query=43.042085,-87.935427"
102,536,98,4.88739,10.7891,"https://www.google.com/maps/search/?api=1&query=42.990637,-87.879932"
103,999,129,5.59344,12.8671,"https://www.google.com/maps/search/?api=1&query=42.984808,-87.879155"
104,746,122,5.55,16.3683,"https://www.google.com/maps/search/?api=1&query=42.970006,-87.901359"
105,1151,140,6.42746,20.6105,"https://www.google.com/maps/search/?api=1&query=42.968852,-87.880858"
106,685,125,6.09142,15.4608,"https://www.google.com/maps/search/?api=1&query=42.962890,-87.901842"
107,803,123,7.87712,22.2113,"https://www.google.com/maps/search/?api=1&query=42.922610,-87.874751"
108,969,128,8.13401,22.1718,"https://www.google.com/maps/search/?api=1&query=42.937314,-87.874571"
109,1143,145,4.65009,9.80203,"https://www.google.com/maps/search/?api=1&query=42.982656,-87.905082"
110,468,100,5.35715,10.0463,"https://www.google.com/maps/search/?api=1&query=42.970169,-87.914194"
111,505,103,7.08121,14.184,"https://www.google.com/maps/search/?api=1&query=42.941220,-87.958167"
112,5,1,0.0624851,0.13412,"https://www.google.com/maps/search/?api=1&query=42.939303,-87.964881"
113,732,142,5.20134,12.8436,"https://www.google.com/maps/search/?api=1&query=43.088776,-87.908674"
114,516,140,4.45199,10.2801,"https://www.google.com/maps/search/?api=1&query=43.085537,-87.921782"
115,647,136,4.76343,11.0608,"https://www.google.com/maps/search/?api=1&query=43.085711,-87.932495"
116,849,166,4.59363,10.7245,"https://www.google.com/maps/search/?api=1&query=43.086541,-87.943833"
117,490,123,4.5199,10.7204,"https://www.google.com/maps/search/?api=1&query=43.079344,-87.924805"
118,509,128,4.93793,11.9123,"https://www.google.com/maps/search/?api=1&query=43.079793,-87.910853"
119,332,78,5.12873,11.1238,"https://www.google.com/maps/search/?api=1&query=43.077619,-87.874570"
120,639,131,5.05218,11.178,"https://www.google.com/maps/search/?api=1&query=43.096082,-87.946117"
121,1294,183,4.47277,9.56838,"https://www.google.com/maps/search/?api=1&query=43.093908,-87.930825"
122,1050,178,5.18979,11.3466,"https://www.google.com/maps/search/?api=1&query=43.106075,-87.937505"
123,495,118,5.70899,12.7721,"https://www.google.com/maps/search/?api=1&query=43.115427,-87.934585"
124,919,164,6.85627,27.4702,"https://www.google.com/maps/search/?api=1&query=43.148833,-87.958189"
125,889,160,5.86321,23.1697,"https://www.google.com/maps/search/?api=1&query=43.123599,-87.954121"
126,571,129,5.55863,18.5335,"https://www.google.com/maps/search/?api=1&query=43.115757,-87.955120"
127,560,135,5.22533,17.5731,"https://www.google.com/maps/search/?api=1&query=43.106327,-87.951353"
128,713,150,4.81234,11.4224,"https://www.google.com/maps/search/?api=1&query=43.093914,-87.959614"
129,800,160,3.89032,13.4223,"https://www.google.com/maps/search/?api=1&query=43.077749,-87.962236"
130,593,142,4.0004,12.6612,"https://www.google.com/maps/search/?api=1&query=43.067898,-87.960991"
131,503,128,4.32575,12.457,"https://www.google.com/maps/search/?api=1&query=43.060027,-87.961105"
132,475,120,3.78123,9.89173,"https://www.google.com/maps/search/?api=1&query=43.052782,-87.962724"
133,305,93,3.96057,9.82083,"https://www.google.com/maps/search/?api=1&query=43.044243,-87.960909"
134,296,85,3.83292,9.31014,"https://www.google.com/maps/search/?api=1&query=43.035166,-87.961910"
135,967,142,5.24074,11.2728,"https://www.google.com/maps/search/?api=1&query=43.014709,-87.972320"
136,691,144,4.16099,14.1507,"https://www.google.com/maps/search/?api=1&query=43.086240,-87.961711"
137,17,1,0.0633923,0.0942149,"https://www.google.com/maps/search/?api=1&query=43.037259,-88.053862"
138,609,116,3.82715,9.27626,"https://www.google.com/maps/search/?api=1&query=43.037306,-87.975065"
139,1187,162,5.28643,20.7169,"https://www.google.com/maps/search/?api=1&query=42.993906,-87.969067"
140,811,142,5.28232,20.5129,"https://www.google.com/maps/search/?api=1&query=42.984380,-87.968320"
141,858,138,7.19092,64.6086,"https://www.google.com/maps/search/?api=1&query=42.973177,-87.981977"
142,537,111,6.15312,36.8273,"https://www.google.com/maps/search/?api=1&query=42.981550,-87.974341"
143,891,149,7.42428,24.2181,"https://www.google.com/maps/search/?api=1&query=43.161862,-88.013132"
144,924,142,6.67445,21.4268,"https://www.google.com/maps/search/?api=1&query=43.142822,-88.027673"
145,1427,158,6.0625,20.3402,"https://www.google.com/maps/search/?api=1&query=43.137566,-88.007542"
146,607,135,6.23557,19.3455,"https://www.google.com/maps/search/?api=1&query=43.131407,-88.017870"
147,511,104,6.83739,12.8589,"https://www.google.com/maps/search/?api=1&query=43.030868,-88.028909"
148,533,108,8.20618,14.6687,"https://www.google.com/maps/search/?api=1&query=43.021007,-88.039276"
149,377,88,9.74241,89.8633,"https://www.google.com/maps/search/?api=1&query=42.992537,-88.042035"
150,516,103,9.249,88.4616,"https://www.google.com/maps/search/?api=1&query=42.991812,-88.027797"
151,1225,170,4.64757,14.5544,"https://www.google.com/maps/search/?api=1&query=43.076399,-87.983466"
152,840,137,6.15767,43.7609,"https://www.google.com/maps/search/?api=1&query=42.992577,-87.986944"
153,626,112,7.20635,73.5269,"https://www.google.com/maps/search/?api=1&query=42.994816,-87.996613"
154,1089,154,6.53138,62.2464,"https://www.google.com/maps/search/?api=1&query=42.982267,-87.989304"
155,560,112,5.1468,12.5294,"https://www.google.com/maps/search/?api=1&query=43.040224,-87.993750"
156,464,123,3.9605,13.3074,"https://www.google.com/maps/search/?api=1&query=43.075932,-87.951475"
157,305,103,4.51453,14.0269,"https://www.google.com/maps/search/?api=1&query=43.067820,-87.953343"
158,332,114,4.05253,11.5412,"https://www.google.com/maps/search/?api=1&query=43.059658,-87.954300"
159,585,122,4.00837,9.12156,"https://www.google.com/maps/search/?api=1&query=43.021399,-87.957734"
160,665,136,6.12923,23.0677,"https://www.google.com/maps/search/?api=1&query=43.127721,-87.965235"
161,534,124,5.29561,18.442,"https://www.google.com/maps/search/?api=1&query=43.108036,-87.962042"
162,660,153,4.80153,18.2379,"https://www.google.com/maps/search/?api=1&query=43.100602,-87.961679"
163,570,127,4.56228,11.1891,"https://www.google.com/maps/search/?api=1&query=43.060084,-87.968908"
164,682,135,4.54092,10.335,"https://www.google.com/maps/search/?api=1&query=43.045665,-87.976939"
165,620,120,3.94245,11.8781,"https://www.google.com/maps/search/?api=1&query=43.016370,-87.958922"
166,723,135,4.54581,17.0138,"https://www.google.com/maps/search/?api=1&query=43.093429,-87.972182"
167,1112,170,4.19328,14.4215,"https://www.google.com/maps/search/?api=1&query=43.077438,-87.972460"
168,1269,161,6.22979,23.6512,"https://www.google.com/maps/search/?api=1&query=43.140710,-87.975192"
169,658,150,5.04978,19.3597,"https://www.google.com/maps/search/?api=1&query=43.115536,-87.967307"
170,568,133,4.64113,17.885,"https://www.google.com/maps/search/?api=1&query=43.100681,-87.970689"
171,547,145,4.66657,18.0425,"https://www.google.com/maps/search/?api=1&query=43.108014,-87.970808"
172,616,129,4.13335,15.5618,"https://www.google.com/maps/search/?api=1&query=43.085919,-87.972275"
173,766,138,5.49091,18.485,"https://www.google.com/maps/search/?api=1&query=43.123325,-88.013309"
174,630,132,5.64262,19.5166,"https://www.google.com/maps/search/?api=1&query=43.115326,-88.013696"
175,855,121,7.03285,19.9863,"https://www.google.com/maps/search/?api=1&query=43.096810,-88.043703"
176,897,153,4.74935,12.4127,"https://www.google.com/maps/search/?api=1&query=43.067912,-87.985228"
177,584,139,4.42943,11.9397,"https://www.google.com/maps/search/?api=1&query=43.067947,-87.975570"
